nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
magnolia drzewiasta,magnolia acuminata,drzewa,"drzewa, liściaste, parkowe, ozdobne kwiaty","kwiaty, ulistnienie","żyzna, próchniczna, przepuszczalna, lekka","kremowe, żółte, zielonkawe","dzwonkowate, pojedyncze, duże","lekko kwaśna, obojętna",strąki,wzniesiony,zależna od odmiany,"V, VI",sezonowe,"regularna, owalna",gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, pojedynczo, ogrody przydomowe, duże ogrody, parki",,,,
jasnota plamista,lamium maculatum,byliny,"znoszące zacienienie, płożące lub okrywowe, na skalniaki, ozdobne liście, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",,"małe wymagania glebowe, próchniczna, przepuszczalna","białe, różowe","wargowe, pojedyncze, drobne",lekko zasadowa,,"rozłożysty, płożący",15-60 cm,"V, VI",półzimozielone,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, ogrody wiejskie, skalniaki, rabaty, obwódki rabat, murki, skarpy, roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, pojemniki",,,,
jałowiec pośredni / jałowiec pfitzera,juniperus ×pfitzeriana,krzewy,"krzewy, iglaste, na skalniaki, na słoneczne stanowisko","cała roślina, ulistnienie","małe wymagania glebowe, przepuszczalna, piaszczysta",,dwupienne,"lekko kwaśna, obojętna, kwaśna",owalne,"rozłożysty, krzaczkowaty",2-3 m zależnie od odmiany,"IV, V",zimozielone,,gleba umiarkowanie sucha,słońce,"roślina dekoracyjna, skalniaki, rabaty, obwódki rabat, szpalery",cała roślina,,,
dereń świdwa,cornus sanguinea,krzewy,"krzewy, liściaste, przebarwiające się liście, ozdobne owoce, ozdobne liście","ulistnienie, pędy","żyzna, przepuszczalna",białe,"luźne, pachnące, pojedyncze, drobne","lekko kwaśna, obojętna","kuliste, jagody, trujące","wzniesiony, rozłożysty, krzaczkowaty",2-5 m,"V, VI",,nieregularna,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, rabaty, pojedynczo, ogrody przydomowe, parki, kwiat cięty",kwiaty,baldachogrono,czarne,
czosnek karatawski,allium karataviense,cebulowe,"na słoneczne stanowisko, na skalniaki, trujące, kwitnące wiosną, na kwiat cięty","kwiatostany, ulistnienie","żyzna, próchniczna, przepuszczalna","kremowe, różowe",drobne,"zasadowa, obojętna, lekko zasadowa",,"rozłożysty, wyprostowany",15-30 cm,"IV, V",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, tarasy, skalniaki, rabaty, w grupie, ogrody przydomowe, pojemniki, balkony",cała roślina,baldach,,
pęcherznica kalinolistna,physocarpus opulifolius,krzewy,"liściaste, żywopłotowe, pojemnikowe, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście, ozdobne kwiaty","kwiatostany, ulistnienie","żyzna, próchniczna",białe,"pachnące, pojedyncze, drobne","lekko kwaśna, obojętna",mieszek,"kulisty, rozłożysty, krzaczkowaty",2-3 m,V,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, żywopłoty, szpalery, ogrody przydomowe, roślina dekoracyjna",kwiaty,baldachogrono,,
złocień trójbarwny,chrysanthemum carinatum,"jednoroczne, dwuletnie","na słoneczne stanowisko, kwitnące latem, na kwiat cięty, ozdobne kwiaty, ogródki wiejskie","kwiatostany, kwiaty","małe wymagania glebowe, próchniczna, gliniasta",wielobarwne,"języczkowate, rurkowe",obojętna,,"wzniesiony, kępy",50-90 cm,"VI, VII, VIII, IX",,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, ogrody wiejskie, skalniaki, rabaty, brzegi zbiorników wodnych, w grupie, ogrody przydomowe, pojemniki, balkony, kwiat cięty",,koszyczek kwiatowy,,
pełnik europejski,trollius europaeus,byliny,"znoszące zacienienie, kwitnące wiosną, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"żyzna, gliniasta",żółte,kuliste,"kwaśna, lekko kwaśna",,kępy,40-60 cm,"V, VI",,,"gleba stale wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","rabaty, brzegi zbiorników wodnych, nasadzenia naturalistyczne, w grupie, pojemniki",,,,roślina trująca
jałowiec łuskowaty,juniperus squamata,krzewy,"drzewa, krzewy, iglaste, do dużych ogrodów lub parków, płożące lub okrywowe, na skalniaki, pojemnikowe, na słoneczne stanowisko",ulistnienie,"próchniczna, przepuszczalna, piaszczysta",,dwupienne,lekko kwaśna,,"kulisty, rozłożysty","0,5-2,5 (zależnie od odmiany)","IV, V",,"nieregularna, płaskokulista",gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, skalniaki, rabaty, pojedynczo, w grupie, ogrody przydomowe, parki, zieleń miejska, pojemniki",cała roślina,,,
jałowiec chiński,juniperus chinensis,drzewa,"drzewa, iglaste, parkowe, ozdobne liście, na słoneczne stanowisko, krzewy, płożące lub okrywowe, żywopłotowe, pojemnikowe",ulistnienie,"żyzna, piaszczysta",,"dwupienne, niepozorne, drobne","lekko kwaśna, obojętna","jagoda fałszywa, kuliste",,20 m (zależnie od odmiany),"IV, V",zimozielone,,"gleba umiarkowanie sucha, gleba sucha",słońce,"skalniaki, rabaty, żywopłoty, szpalery, skarpy, ogrody przydomowe, pojemniki",cała roślina,,,
