name,latin_name,image,opis,grupa_roslin,grupa_uzytkowa,forma,sila_wzrostu,pokroj,docelowa_wysokosc,barwa_lisci_(igiel),zimozielonosc_lisci_(igiel),owoce,naslonecznienie,wilgotnosc,ph_podloza,rodzaj_gleby,walory,zastosowanie,image_filename
jodła pospolita 'pendula',abies alba'pendula',https://e-katalogroslin.pl/api/image.php?id=30915&size=standard,Malownicze drzewo o kolumnowym pokroju i mocno zwisających pędach bocznych Przewodnik czasem pogięty ale zawsze skierowany do góry Liczne i długie pędy szczelnie okrywają pień Wzrost powolny około 15 cm rocznie Po 10 latach rośliny dorastają do 152 m wysokości i 08 m szerokości Istniejące stare egzemplarze mają po kilkanaście metrów wysokości i 34 m średnicy Igły ciemnozielone błyszczące Roślina wymaga gleb żyznych umiarkowanie wilgotnych Nadaje się na stanowiska zarówno słoneczne jak i cieniste Źle znosi klimat miejski o suchym i zanieczyszczonym powietrzu Do sadzenia w ogrodach tylko w przyjaznym mikroklimacie na zacisznych stanowiskach jako roślina soliterowa,iglaste,iglaste,drzewo,wzrost typowy dla gatunku,"drzewiasty wyprostowany, kolumnowy",od 10 m do 15 m,ciemnozielone,igły zimozielone,"szyszki, szyszkojagody","stanowisko półcieniste, stanowisko słoneczne",podłoże umiarkowanie wilgotne,odczyn lekko kwaśny do obojętnego,próchniczna,"ciekawy pokrój, roślina zimozielona","ogrody przydomowe, parki, soliter (pojedynczo)",abies_albapendula.jpg
jodła pospolita 'pyramidalis',abies alba'pyramidalis',https://e-katalogroslin.pl/api/image.php?id=26555&size=standard,Jodła o bardzo regularnym stożkowatym pokroju Początkowo rośnie kolumnowo Starsze egzemplarze stopniowo poszerzają się u dołu Po wielu latach dorasta do 710 m wysokości ale początkowo rośnie bardzo powoli Pędy skierowane ku górze pod kątem 3045 stopni bardziej wyprostowane i krótsze niż u typu Igły ciemnozielone błyszczące jak u typowej jodły pospolitej Najlepiej rośnie w wilgotnym górskim lub morskim klimacie Jest wrażliwa na duże wahania temperatury a szczególnie na mroźne suche wiatry i wczesne przymrozki powodujące przemarzanie pędów Wymaga gleby dość żyznej głębokiej W młodości lepiej rośnie w słabym ocienieniu niż na otwartej przestrzeni Do sadzenia w ogrodach przydomowych i kolekcjach w osłoniętym zacisznym miejscu,iglaste,iglaste,drzewo,roślina wolnorosnąca,stożkowy,od 5 m do 10 m,ciemnozielone,igły zimozielone,"szyszki, szyszkojagody","stanowisko półcieniste, stanowisko słoneczne",podłoże umiarkowanie wilgotne,odczyn lekko kwaśny do obojętnego,"przeciętna ogrodowa, roślina tolerancyjna","ciekawy pokrój, roślina zimozielona","ogrody przydomowe, soliter (pojedynczo)",abies_albapyramidalis.jpg
jodła wonna,abies amabilis,default_plant.jpg,Drzewo iglaste naturalnie występujące nad Pacyfikiem w zachodniej części Ameryki Północnej od Oregonu do Alaski Tworzy lasy na dużych powierzchniach na wysokości od 0 do 1500 m npm Drzewo w naturze 2540 70 m wysokości Korony stożkowate z wyraźnie zaznaczonym przewodnikiem u starych drzew cylindryczne Kora srebrzysta u starszych drzew staje się czerwonoszara Igły od góry ciemnozielone i błyszczące od dołu z szerokimi kredowymi paskami ułożone tak że zakrywają powierzchnię pędu Zapach igieł przyjemny mandarynkowy Pączki pokryte żywicą Szyszki duże 1015 cm dł fioletowe przed dojrzeniem rozpadają się jesienią Gatunek dosyć wrażliwy wymaga wilgotnego powietrza i osłoniętego stanowiska Nie nadaje się na gleby wapienne i suche Nie znosi dużych wahań temperatury Piękne drzewo parkowe do sadzenia w zacisznych miejscach,iglaste,iglaste,drzewo,wzrost typowy dla gatunku,"drzewiasty wyprostowany, stożkowy",od 15 m do 20 m,ciemnozielone,igły zimozielone,"szyszki, szyszkojagody","stanowisko cieniste, stanowisko półcieniste, stanowisko słoneczne","podłoże umiarkowanie wilgotne, podłoże wilgotne",odczyn lekko kwaśny do obojętnego,próchniczna,roślina zimozielona,"parki, kompozycje naturalistyczne (parki i ogrody)",default_plant.jpg
jodła arnolda,abies ×arnoldiana,https://e-katalogroslin.pl/api/image.php?id=17817&size=standard,Gatunek mieszańcowy powstały ze skrzyżowania jodły koreańskiej Abies koreana z jodłą Veitcha Abies veitchii o cechach pośrednich dla obydwu gatunków powstający z nasion zbieranych z jodły koreańskiej Pierwsze mieszańce zanotowano w Ogrodzie Botanicznym w Göteborgu Powstały one z nasion pochodzących z Arboretum Arnolda w USA Pokrój roślin szeroko stożkowaty zbliżony do jodły Veitcha Wzrost roślin średnio silny dużo silniejszy niż jodły koreańskiej Drzewa w wieku 30 lat osiągają około 10 m wysokości Pędy ułożone w regularnych okółkach owłosione szare Igły skierowane ku przodowi zielone do 3 cm długości od spodu kredowobiałe Szyszki cylindryczne osiągające do 6 cm długości i 25 cm średnicy niedojrzałe fioletowobrązowe do szarożółtobrązowych pojawiają się już na młodych roślinach Gatunek o średnich wymaganiach uprawowych dobrze rosnący na glebach żyznych i stale umiarkowanie wilgotnych Polecany do sadzenia w dużych ogrodach i parkach szczególnie w miejscach reprezentacyjnych,iglaste,iglaste,drzewo,roślina szybkorosnąca,szerokostożkowy,od 15 m do 20 m,ciemnozielone,igły zimozielone,"szyszki, szyszkojagody","stanowisko półcieniste, stanowisko słoneczne","podłoże umiarkowanie wilgotne, podłoże wilgotne",odczyn lekko kwaśny do obojętnego,"próchniczna, gliniasta","ciekawy pokrój, ozdobne szyszki/szyszkojagody, ozdobne z liści/igieł, roślina zimozielona","ogrody przydomowe, parki, szpaler, w grupach, soliter (pojedynczo)",abies_arnoldiana.jpg
jodła balsamiczna,abies balsamea,default_plant.jpg,Drzewo iglaste naturalnie występujące w Kanadzie i pn wsch stanach USA Tworzy lasy na dużych powierzchniach na wysokości od 0 do 1500 m npm W 1698 lub wcześniej wprowadzona do Anglii Po raz pierwszy opisana w 1768 Drzewo małe lub średniej wielkości 1520 m wysokości Korony starych drzew wąskie strzeliste stożkowate z ostrym wierzchołkiem Igły krótkie wąskie i płaskie od góry ciemnozielone i błyszczące od dołu z dwoma białymi lub szarymi paskami Zapach igieł przyjemny balsamiczny Igły ułożone dwustronnie płasko powierzchnia pędu jest widoczna Pączki pokryte szklistą żywicą Szyszki małe 510 cm dł dojrzewają i rozpadają się od września do listopada Wytrzymała na mrozy ale wymaga wysokiej wilgotności powietrza i gleby Nie znosi dużych wahań temperatury Najczęściej spotykane drzewko bożonarodzeniowe na drugiej półkuli Przemysłowo wykorzystuje się tam również drewno i żywicę Do zastosowania w większych ogrodach i parkach na osłoniętych stanowiskach,iglaste,iglaste,drzewo,wzrost typowy dla gatunku,stożkowy,od 15 m do 20 m,ciemnozielone,igły zimozielone,"szyszki, szyszkojagody","stanowisko półcieniste, stanowisko słoneczne",podłoże wilgotne,odczyn lekko kwaśny do obojętnego,przeciętna ogrodowa,roślina zimozielona,"ogrody przydomowe, parki, w grupach",default_plant.jpg
jodła balsamiczna 'kiwi',abies balsamea'kiwi',https://e-katalogroslin.pl/api/image.php?id=19539&size=standard,Wolno rosnący krzew iglasy o spłaszczonym pokroju osiągający w wieku 10 lat około 04 m wysokości i 06 m średnicy Tworzy krótkie pędy pokryte jasnozielonymi igłami Są one od góry lekko błyszczące a od spodu mają dwa białe paski są płaskie promieniście ułożone wokół pędów Po roztarciu igły wydzielają przyjemny balsamiczny zapach Roślina preferuje gleby żyzne próchniczne lekko kwaśne i przepuszczalne Jest w pełni odporna na mróz Nadaje się do uprawy w niewielkich ogrodach na skalniakach i w pojemnikach ustawianych na balkonach i tarasach najlepiej na stanowiskach półcienistych i cienistych,iglaste,iglaste,krzew,roślina wolnorosnąca,płaskokulisty,od 0.5 m do 1 m,jasnozielone,igły zimozielone,Brak,"stanowisko cieniste, stanowisko półcieniste","podłoże umiarkowanie wilgotne, podłoże wilgotne",odczyn lekko kwaśny do obojętnego,"próchniczna, gliniasta","ciekawy pokrój, ozdobne z liści/igieł, roślina zimozielona","ogrody przydomowe, ogrody skalne, ogrody wrzosowiskowe, rabaty, pojemniki, balkony, tarasy, w grupach",abies_balsameakiwi.jpg
jodła balsamiczna 'larry's weeping',abies balsamea'larry's weeping',https://e-katalogroslin.pl/api/image.php?id=21245&size=standard,Roślina o wąskostożkowatym zwartym pokroju z pędami malowniczo opadającymi ku dołowi Główny przewodnik rośnie w górę często kręcąc się i odchylając od pionu Wymaga prowadzenia przy paliku i podwiązywania Rośnie powoli W dobrych warunkach wieku 10 lat osiąga 18 m wysokości i 08 m szerokości Igły wąskie szarozielone na spodniej stronie z dwoma białymi paskami Pąki zimowe błyszczące Odmiana dość odporna na mróz jednak wrażliwa na częste i duże wahania temperatury zimą Wymaga podłoża żyznego wilgotnego o odczynie kwaśnym i lekko kwaśnym oraz wysokiej wilgotności powietrza Nie znosi suchego i zanieczyszczonego powietrza Do sadzenia w ogrodach przydomowych na rabatach wrzosowiskach w miejscach eksponujących interesujący pokrój,iglaste,iglaste,małe drzewo lub duży krzew,wzrost typowy dla gatunku,"przewisający (płaczący, zwisły)",od 2 m do 3 m,ciemnozielone,igły zimozielone,Brak,stanowisko słoneczne,podłoże umiarkowanie wilgotne,odczyn lekko kwaśny do obojętnego,przeciętna ogrodowa,"ciekawy pokrój, roślina zimozielona","ogrody przydomowe, soliter (pojedynczo)",abies_balsamealarrys_weeping.jpg
jodła balsamiczna 'nana',abies balsamea'nana',https://e-katalogroslin.pl/api/image.php?id=30923&size=standard,Karłowy wolno rosnący krzew o zaokrąglonym pokroju osiągający w wieku 10 lat około 05 m wysokości Tworzy krótkie pędy ułożone blisko siebie Gałązki są zwieńczone okrągłymi pąkami pokrytymi szklistą żywicą Ciemnozielone igły są od góry błyszczące a od spodu mają dwa białe paski są płaskie promieniście ułożone wokół pędów Po roztarciu igły wydzielają przyjemny balsamiczny zapach Roślina preferuje gleby żyzne próchniczne lekko kwaśne i przepuszczalne Jest w pełni odporna na mróz Nadaje się do uprawy na stanowiskach półcienistych i cienistych w niewielkich ogrodach na skalniakach i w pojemnikach ustawianych na balkonach o wystawie wschodniej zachodniej i północnej,iglaste,iglaste,krzew,roślina wolnorosnąca,płaskokulisty,od 0.2 m do 0.5 m,ciemnozielone,igły zimozielone,Brak,stanowisko półcieniste,podłoże umiarkowanie wilgotne,odczyn kwaśny,przeciętna ogrodowa,"ciekawy pokrój, ozdobne z liści/igieł, roślina zimozielona","ogrody przydomowe, ogrody skalne, ogrody wrzosowiskowe, pojemniki, balkony, tarasy",abies_balsameanana.jpg
jodła balsamiczna 'piccolo',abies balsamea'piccolo',https://e-katalogroslin.pl/api/image.php?id=30918&size=standard,Mały krzew o zwartym zaokrąglonym pokroju osiągający w wieku 10 lat ok 05 m wys przy podobnej szer Igły krótkie tępo zakończone Wymaga dosyć żyznych i wilgotnych gleb Polecany do ogrodów skalnych i kompozycji pojemnikowych,iglaste,iglaste,krzew,roślina wolnorosnąca,płaskokulisty,od 0.5 m do 1 m,ciemnozielone,igły zimozielone,"szyszki, szyszkojagody","stanowisko półcieniste, stanowisko słoneczne","podłoże umiarkowanie wilgotne, podłoże wilgotne",odczyn lekko kwaśny do obojętnego,przeciętna ogrodowa,"ciekawy pokrój, ozdobne z liści/igieł, roślina zimozielona","ogrody przydomowe, ogrody skalne, ogrody wrzosowiskowe, pojemniki, balkony, tarasy",abies_balsameapiccolo.jpg
jodła cephaloniana,abies ×cephaloniana,https://e-katalogroslin.pl/api/image.php?id=25144&size=standard,Gatunek mieszańcowy powstały ze skrzyżowania jodły greckiej Abies cephalonica z jodłą kaukaską Abies nordmanniana o cechach pośrednich dla obydwu gatunków Mieszańce takie charakteryzują się silniejszym wzrostem w stosunku do jodły greckiej ale słabszym w stosunku do jodły kaukaskiej Docelowo osiągają około 30 m wysokości Pędy ułożone są poziomo i regularnie Igły dość długie do 35 cm ciemnozielone na końcach zaokrąglone Pąki słabo ożywicowane lub całkowicie pozbawione żywicy Szyszki duże cylindryczne osiągające do około 15 cm długości po dojrzeniu brązowe i silnie ożywicowane Gatunek o średnich wymaganiach uprawowych dobrze rosnący na żyznych i wilgotnych glebach ale tolerujący okresowe letnie susze Polecany do uprawy w eksponowanych miejscach w dużych ogrodach i parkach szczególnie w zachodniej i centralnej części Polski,iglaste,iglaste,drzewo,wzrost typowy dla gatunku,szerokostożkowy,powyżej 20,ciemnozielone,igły zimozielone,"ozdobne, szyszki, szyszkojagody","stanowisko półcieniste, stanowisko słoneczne",podłoże umiarkowanie wilgotne,odczyn lekko kwaśny do obojętnego,"przeciętna ogrodowa, próchniczna, gliniasta","ciekawy pokrój, ozdobne szyszki/szyszkojagody, roślina zimozielona","ogrody przydomowe, parki, kompozycje naturalistyczne (parki i ogrody), soliter (pojedynczo)",abies_cephaloniana.jpg
